id_1,id_2
10,915
22,291
24,327
27,885
27,831
27,714
27,479
35,308
38,717
38,253
38,393
38,814
42,540
42,73
52,591
52,823
61,974
61,73
61,772
92,141
98,709
98,393
99,338
101,910
105,968
119,255
119,73
120,937
124,494
127,910
130,561
140,557
150,974
159,298
159,260
159,232
175,73
175,393
177,893
197,86
218,588
219,852
230,73
965,363
240,352
255,412
259,506
265,73
266,953
268,19
275,107
277,983
297,893
308,363
308,184
308,538
308,631
311,974
311,925
314,974
320,641
326,680
326,440
340,361
342,73
351,73
360,595
360,981
360,901
362,73
393,508
393,403
397,974
403,557
425,452
430,788
432,708
440,73
440,852
444,73
452,814
459,689
461,556
462,683
463,73
473,685
476,909
479,561
494,631
494,900
494,736
494,981
494,285
494,465
500,73
503,532
506,706
521,56
522,698
522,648
529,855
533,708
535,856
545,597
546,184
592,73
618,73
618,848
621,772
630,897
641,417
641,686
642,179
649,845
650,73
667,543
699,709
711,893
738,645
746,933
746,73
751,974
772,828
776,974
776,73
798,73
799,86
805,73
814,894
848,962
851,867
891,910
893,524
893,817
893,73
894,974
897,974
925,918
937,940
231,73
974,691
974,904
974,144
1000,94
144,73
773,73
902,73
73,573
73,356
73,524
73,953
73,966
179,820
910,260
86,470
929,725
